trait	method	compartment	category	prop_snps	prop_h2	prop_h2_se	enrichment	enrichment_se	enrichment_p	coefficient	coefficient_se	coefficient_z	total_h2	intercept	lambda_gc	n_snps
Height	method4b_crosscohort	stromal	L2_0	0.0032966743547689	-0.0029398720378786	0.0066754239030348	-0.8917690137109989	2.0248963605938934	0.3537794260239469	-3.758654865101212e-07	1.5538647423909785e-07	-2.41890736211548	0.4452	1.7226	5.0943	1080092.0
Height	method5_re2g	epithelial	L2_0	0.0887953164812413	0.2278907526774039	0.034233271304498	2.566472666669842	0.3855301457451314	5.378336731162497e-05	-3.07224210499586e-08	3.6743720195595893e-08	-0.8361271228502604	0.445	1.7201	5.0943	1080092.0
Height	method5_re2g	immune	L2_0	0.074413717198283	0.1665303117100585	0.0132816242425751	2.2378980378889173	0.1784835476930271	2.656318583350387e-11	-2.4739349849274073e-08	7.022163572230358e-09	-3.5230381056783666	0.4451	1.7203	5.0943	1080092.0
Height	method5_re2g	stromal	L2_0	0.0645782137332689	0.354772273142916	0.0372996133493777	5.493683591315359	0.5775881863725508	3.596575442033137e-12	2.3742209003440066e-07	6.352897690343243e-08	3.7372251468065576	0.4461	1.7196	5.0943	1080092.0
Height	method5_re2g_continuous	epithelial	L2_0	0.088376057956347	0.2269986664311828	0.0340078659441242	2.568553878509808	0.3848085865169761	5.11271093409475e-05	-3.1117967823754543e-08	3.686892605496823e-08	-0.8440161174578417	0.445	1.7201	5.0943	1080092.0
Height	method5_re2g_continuous	immune	L2_0	0.0742198738649648	0.166165623468631	0.0132337840270779	2.2388292355623203	0.1783051268876507	2.4780133549990525e-11	-2.4734123615335768e-08	7.015016782414929e-09	-3.5258823153978276	0.4451	1.7203	5.0943	1080092.0
Height	method5_re2g_continuous	stromal	L2_0	0.0641919744776141	0.3528243939645466	0.0371403042433448	5.496394165092835	0.5785817393153548	3.8871921516293375e-12	2.389007523919218e-07	6.423350837483822e-08	3.719254302564374	0.4461	1.7196	5.0943	1080092.0
IBD	method1_distance	epithelial	L2_0	0.0887986715335054	0.3990034687257457	0.0647023442774602	4.493349526914869	0.7286409037442279	2.99074958065316e-06	8.778563770146162e-08	5.230587376699892e-08	1.6783131870143375	0.3213	1.1215	1.2831	1150510.0
IBD	method1_distance	immune	L2_0	0.0744153947244151	0.305119176621709	0.0363629275291175	4.1002157920638105	0.4886479157139665	1.4493760425141156e-08	1.707760994974312e-08	2.4213530004781286e-08	0.7052920390529972	0.3208	1.1215	1.2831	1150510.0
IBD	method1_distance	stromal	L2_0	0.0645825753012123	0.281501371102224	0.0574862212414966	4.358782067598031	0.8901196797027932	0.0002417961601065	4.87823676831257e-08	5.321996319163245e-08	0.9166178395778288	0.321	1.1214	1.2831	1150510.0
IBD	method2_cicero	epithelial	L2_0	0.0352134542963876	0.2499752784765039	0.0702930377918923	7.098857055388269	1.9961983053478296	0.0028235387367647	1.546405474828297e-07	1.4342322102194758e-07	1.0782113689886073	0.3208	1.1217	1.2831	1150510.0
IBD	method2_cicero	immune	L2_0	0.0583763996229592	0.2283002121013999	0.0300284637432952	3.910830636626146	0.5143938978293062	2.678389656239893e-07	9.109550452525305e-09	2.3218321674564737e-08	0.3923431925962442	0.3208	1.1215	1.2831	1150510.0
IBD	method2_cicero	stromal	L2_0	0.0283570694893392	0.17740508097707	0.0408842081713647	6.256114759804957	1.441764219914721	0.0004489683718605	5.1095948186753467e-08	8.069294963907645e-08	0.6332145300834274	0.3209	1.1215	1.2831	1150510.0
IBD	method2b_glasso	epithelial	L2_0	0.0122885499279586	0.0779207175532649	0.0223460158145259	6.34092045115766	1.818442041211454	0.0044103917413949	2.4777005878683474e-08	1.028508918441086e-07	0.2409021976808724	0.3207	1.1216	1.2831	1150510.0
IBD	method2b_glasso	immune	L2_0	0.0106752730467347	0.0873616640453305	0.052836720139189	8.183553119707069	4.949449059324106	0.1552836533060609	6.422279031911017e-08	3.491294391879114e-07	0.1839512315790237	0.3208	1.1215	1.2831	1150510.0
IBD	method2b_glasso	stromal	L2_0	0.010665878900395	0.0623564663031525	0.0193547548254013	5.8463504869573395	1.8146422818174408	0.0091456419830597	-3.8184397066317674e-08	7.118200419163232e-08	-0.5364332951839867	0.3205	1.1216	1.2831	1150510.0
IBD	method3_abc	epithelial	L2_0	0.0081400278033181	0.0586988165087075	0.0161012269192429	7.211132188612456	1.978030948823003	0.0022815606433445	-5.2606810958921996e-09	3.569286912180024e-08	-0.1473874537219289	0.3206	1.1216	1.2831	1150510.0
IBD	method3_abc	immune	L2_0	0.0408995968736951	0.1089338247602682	0.0209838259089276	2.663444950244231	0.5130570351030402	0.0019175058452468	3.255017349399349e-09	2.2756830152400873e-08	0.143034742870634	0.3208	1.1215	1.2831	1150510.0
IBD	method3_abc	stromal	L2_0	0.0080933925768462	0.0565884820741368	0.0192213000152525	6.991935895464483	2.374937312474042	0.0134418090084853	-3.187605003814725e-08	6.986085878093172e-08	-0.4562791038413016	0.3205	1.1216	1.2831	1150510.0
IBD	method4a_paired	epithelial	L2_0	0.0024547239890766	0.0514462874393353	0.0213496961906416	20.95807417382497	8.697391757951825	0.0200865302719995	5.802625050865505e-07	4.685101261991313e-07	1.2385271366363615	0.3205	1.1218	1.2831	1150510.0
IBD	method4a_paired	immune	L2_0	0.0053544956609947	0.0573179994128511	0.0250746274570756	10.704649521034888	4.682911154403134	0.0356622533080548	9.972654391840881e-08	2.508954181170163e-07	0.3974825234628114	0.3206	1.1216	1.2831	1150510.0
IBD	method4a_paired	stromal	L2_0	0.0033931321073636	0.0485625384665981	0.0178311292390242	14.31200935596024	5.255064841220765	0.0114375079922889	3.957138086324791e-07	2.8007242489758805e-07	1.4128981415331294	0.321	1.1213	1.2831	1150510.0
IBD	method4b_crosscohort	epithelial	L2_0	0.0023483688323025	0.050828727999192	0.0245002167061211	21.644269545748692	10.432865727526584	0.0482234424715846	7.227412089515548e-07	5.67732768572718e-07	1.2730306386374852	0.3211	1.1214	1.2831	1150510.0
IBD	method4b_crosscohort	immune	L2_0	0.005291923936268	0.0694329432711983	0.0276657170060872	13.120548236784176	5.227912823251442	0.0184380552676539	2.349977371277291e-07	2.93661280968146e-07	0.800233985062606	0.3205	1.1217	1.2831	1150510.0
IBD	method4b_crosscohort	stromal	L2_0	0.0032966743547689	-0.0032972065667987	0.0149481030984096	-1.000161439066342	4.5342977466930865	0.6595488816939641	-3.94768009839051e-07	2.560600326318747e-07	-1.5417010057426266	0.3203	1.1218	1.2831	1150510.0
IBD	method5_re2g	epithelial	L2_0	0.0887953164812413	0.3990659119137211	0.0647082624097494	4.4942225302843175	0.7287350839435276	2.9817401696385228e-06	8.78412521671155e-08	5.2312640629427534e-08	1.6791592072242283	0.3213	1.1215	1.2831	1150510.0
IBD	method5_re2g	immune	L2_0	0.074413717198283	0.3051194325581405	0.0363613896783247	4.100311663575656	0.4886382651929091	1.4475735153292625e-08	1.7074909888513074e-08	2.4213067617082072e-08	0.7051939951824568	0.3208	1.1215	1.2831	1150510.0
IBD	method5_re2g	stromal	L2_0	0.0645782137332689	0.2814298072390758	0.0574772016383377	4.357968283258518	0.8900401283277839	0.0002423232289365	4.8702104355791976e-08	5.3204425549896295e-08	0.9153769419071736	0.321	1.1214	1.2831	1150510.0
IBD	method5_re2g_continuous	epithelial	L2_0	0.088376057956347	0.3976904432630648	0.0645568186640042	4.499979434017096	0.7304785951857209	3.0444194450930632e-06	8.82129521869678e-08	5.278705786360197e-08	1.671109468061354	0.3213	1.1215	1.2831	1150510.0
IBD	method5_re2g_continuous	immune	L2_0	0.0742198738649648	0.3042677788489685	0.0362039154240332	4.09954588985898	0.4877927371569295	1.3845258134296331e-08	1.7008816577420747e-08	2.4203636932658528e-08	0.7027380482009444	0.3208	1.1215	1.2831	1150510.0
IBD	method5_re2g_continuous	stromal	L2_0	0.0641919744776141	0.2803582266078087	0.0571214155423242	4.367496542820612	0.8898529139689316	0.0002318108243671	4.87329629292364e-08	5.351996500626426e-08	0.9105567039054012	0.321	1.1214	1.2831	1150510.0
